0.3 -0.9995  1.89072e-05
0.3 -0.992837  1.87877e-05
0.3 -0.986173  1.86695e-05
0.3 -0.97951  1.85524e-05
0.3 -0.972847  1.84365e-05
0.3 -0.966183  1.83217e-05
0.3 -0.95952  1.82081e-05
0.3 -0.952857  1.80957e-05
0.3 -0.946193  1.79843e-05
0.3 -0.93953  1.78741e-05
0.3 -0.932867  1.7765e-05
0.3 -0.926203  1.7657e-05
0.3 -0.91954  1.75501e-05
0.3 -0.912877  1.74443e-05
0.3 -0.906213  1.73396e-05
0.3 -0.89955  1.7236e-05
0.3 -0.892887  1.71334e-05
0.3 -0.886223  1.70319e-05
0.3 -0.87956  1.69315e-05
0.3 -0.872897  1.68321e-05
0.3 -0.866233  1.67338e-05
0.3 -0.85957  1.66365e-05
0.3 -0.852907  1.65402e-05
0.3 -0.846243  1.6445e-05
0.3 -0.83958  1.63508e-05
0.3 -0.832917  1.62576e-05
0.3 -0.826253  1.61654e-05
0.3 -0.81959  1.60742e-05
0.3 -0.812927  1.59841e-05
0.3 -0.806263  1.58948e-05
0.3 -0.7996  1.58066e-05
0.3 -0.792937  1.57194e-05
0.3 -0.786273  1.56331e-05
0.3 -0.77961  1.55478e-05
0.3 -0.772947  1.54635e-05
0.3 -0.766283  1.53801e-05
0.3 -0.75962  1.52976e-05
0.3 -0.752957  1.52161e-05
0.3 -0.746293  1.51355e-05
0.3 -0.73963  1.50559e-05
0.3 -0.732967  1.49771e-05
0.3 -0.726303  1.48993e-05
0.3 -0.71964  1.48224e-05
0.3 -0.712977  1.47465e-05
0.3 -0.706313  1.46714e-05
0.3 -0.69965  1.45972e-05
0.3 -0.692987  1.45239e-05
0.3 -0.686323  1.44514e-05
0.3 -0.67966  1.43799e-05
0.3 -0.672997  1.43092e-05
0.3 -0.666333  1.42394e-05
0.3 -0.65967  1.41705e-05
0.3 -0.653007  1.41024e-05
0.3 -0.646343  1.40352e-05
0.3 -0.63968  1.39688e-05
0.3 -0.633017  1.39033e-05
0.3 -0.626353  1.38386e-05
0.3 -0.61969  1.37748e-05
0.3 -0.613027  1.37117e-05
0.3 -0.606363  1.36495e-05
0.3 -0.5997  1.35882e-05
0.3 -0.593037  1.35276e-05
0.3 -0.586373  1.34678e-05
0.3 -0.57971  1.34089e-05
0.3 -0.573047  1.33507e-05
0.3 -0.566383  1.32934e-05
0.3 -0.55972  1.32368e-05
0.3 -0.553057  1.31811e-05
0.3 -0.546393  1.31261e-05
0.3 -0.53973  1.30719e-05
0.3 -0.533067  1.30184e-05
0.3 -0.526403  1.29658e-05
