0.3 0.3 0.3 0.3 0.3 0.3 
0.64 0.64 0.64 0.64 0.64 0.64 
0.98 0.98 0.98 0.98 0.98 0.98 
1.32 1.32 1.32 1.32 1.32 1.32 
1.66 1.66 1.66 1.66 1.66 1.66 
2 2 2 2 2 2 
